,year,variable,value
725,2047,Food (per capita),0.03652019002375295
726,2047,Industrial output (per capita),0.2648456057007127
728,2047,Population,0.5581947743467934
729,2047,Resources,0.3104852392263319
730,2048,Food (per capita),0.0338479809976247
731,2048,Industrial output (per capita),0.25653206650831367
733,2048,Population,0.5463182897862234
734,2048,Resources,0.3050559891414999
735,2049,Food (per capita),0.031175771971496447
736,2049,Industrial output (per capita),0.24821852731591457
738,2049,Population,0.5306809184481395
739,2049,Resources,0.29962673905666787
740,2050,Food (per capita),0.03018606492478229
741,2050,Industrial output (per capita),0.24103608189118883
743,2050,Population,0.5112826603325417
744,2050,Resources,0.2941974889718359
745,2051,Food (per capita),0.030878859857482222
746,2051,Industrial output (per capita),0.23498473023413646
748,2051,Population,0.4792161520190024
749,2051,Resources,0.2887682388870038
750,2052,Food (per capita),0.033254156769596255
751,2052,Industrial output (per capita),0.23006447234475744
753,2052,Population,0.44675376088677754
754,2052,Resources,0.28333898880217184
755,2053,Food (per capita),0.03562945368171028
756,2053,Industrial output (per capita),0.22514421445537844
758,2053,Population,0.41389548693586703
759,2053,Resources,0.2782349281755459
760,2054,Food (per capita),0.03826867247294808
761,2054,Industrial output (per capita),0.22022395656599938
763,2054,Population,0.3909342834520982
764,2054,Resources,0.273456057007126
765,2055,Food (per capita),0.04117181314330967
766,2055,Industrial output (per capita),0.21530369867662036
768,2055,Population,0.3693586698337293
769,2055,Resources,0.2690023752969122
770,2056,Food (per capita),0.044338875692795036
771,2056,Industrial output (per capita),0.21038344078724136
773,2056,Population,0.352236737925574
774,2056,Resources,0.26454869358669836
775,2057,Food (per capita),0.046499736078120996
776,2057,Industrial output (per capita),0.20568940165139696
778,2057,Population,0.33818289786223277
779,2057,Resources,0.2607878068091845
780,2058,Food (per capita),0.04765439429928755
781,2058,Industrial output (per capita),0.20122158126908726
783,2058,Population,0.32719714964370544
784,2058,Resources,0.25771971496437057
785,2059,Food (per capita),0.047802850356294675
786,2059,Industrial output (per capita),0.19697997964031222
788,2059,Population,0.3162114014251781
789,2059,Resources,0.25534441805225655
790,2060,Food (per capita),0.047951306413301815
791,2060,Industrial output (per capita),0.19273837801153718
793,2060,Population,0.3054235946159936
794,2060,Resources,0.2529691211401425
795,2061,Food (per capita),0.048099762470308956
796,2061,Industrial output (per capita),0.1884967763827621
798,2061,Population,0.29483372921615203
799,2061,Resources,0.2505938242280285
800,2062,Food (per capita),0.04824821852731609
801,2062,Industrial output (per capita),0.1842551747539871
803,2062,Population,0.2844418052256532
804,2062,Resources,0.24821852731591446
805,2063,Food (per capita),0.04839667458432323
806,2063,Industrial output (per capita),0.18001357312521205
808,2063,Population,0.27404988123515445
809,2063,Resources,0.24584323040380043
810,2064,Food (per capita),0.04854513064133037
811,2064,Industrial output (per capita),0.17543264336613498
813,2064,Population,0.2639548693586699
814,2064,Resources,0.2434679334916864
815,2065,Food (per capita),0.048743072050673186
816,2065,Industrial output (per capita),0.17051238547675596
818,2065,Population,0.25415676959619965
819,2065,Resources,0.2416864608076009
820,2066,Food (per capita),0.04899049881235168
821,2066,Industrial output (per capita),0.16525279945707494
823,2066,Population,0.24465558194774353
824,2066,Resources,0.2404988123515439
825,2067,Food (per capita),0.04928741092636585
826,2067,Industrial output (per capita),0.15999321343739392
828,2067,Population,0.2365795724465559
829,2067,Resources,0.23990498812351543
830,2068,Food (per capita),0.049584323040380025
831,2068,Industrial output (per capita),0.1547336274177129
833,2068,Population,0.22992874109263664
834,2068,Resources,0.23931116389548693
835,2069,Food (per capita),0.04912245975191338
836,2069,Industrial output (per capita),0.14947404139803186
838,2069,Population,0.22470308788598578
839,2069,Resources,0.23871733966745845
840,2070,Food (per capita),0.04790182106096591
841,2070,Industrial output (per capita),0.14421445537835084
843,2070,Population,0.21947743467933492
844,2070,Resources,0.23812351543942997
845,2071,Food (per capita),0.0459224069675376
846,2071,Industrial output (per capita),0.13905855295403985
848,2071,Population,0.21425178147268406
849,2071,Resources,0.23752969121140147
850,2072,Food (per capita),0.04354711005542363
851,2072,Industrial output (per capita),0.13400633412509896
853,2072,Population,0.21010820797044072
854,2072,Resources,0.236935866983373
855,2073,Food (per capita),0.040775930324624
856,2073,Industrial output (per capita),0.12905779889152813
858,2073,Population,0.20704671417260487
859,2073,Resources,0.2363420427553445
860,2074,Food (per capita),0.0376088677751387
861,2074,Industrial output (per capita),0.12410926365795731
863,2074,Population,0.20506730007917653
864,2074,Resources,0.23574821852731598
865,2075,Food (per capita),0.03602533650039603
866,2075,Industrial output (per capita),0.11916072842438646
868,2075,Population,0.2030878859857482
869,2075,Resources,0.23535233570863032
870,2076,Food (per capita),0.036025336500396
871,2076,Industrial output (per capita),0.11421219319081562
873,2076,Population,0.20110847189231987
874,2076,Resources,0.2351543942992875
875,2077,Food (per capita),0.0376088677751386
876,2077,Industrial output (per capita),0.10978207593409507
878,2077,Population,0.19912905779889153
879,2077,Resources,0.2351543942992875
880,2078,Food (per capita),0.03945632092900503
881,2078,Industrial output (per capita),0.10587037665422479
883,2078,Population,0.19747012027297065
884,2078,Resources,0.2351543942992875
885,2079,Food (per capita),0.04156769596199528
886,2079,Industrial output (per capita),0.10247709535120479
888,2079,Population,0.1961316593145572
889,2079,Resources,0.2351543942992875
890,2080,Food (per capita),0.043942992874109355
891,2080,Industrial output (per capita),0.0990838140481848
893,2080,Population,0.1951136749236512
894,2080,Resources,0.23528635523884942
895,2081,Food (per capita),0.04631828978622343
896,2081,Industrial output (per capita),0.0956905327451648
898,2081,Population,0.1940956905327452
899,2081,Resources,0.23555027711797316
900,2082,Food (per capita),0.048060174188440406
901,2082,Industrial output (per capita),0.09229725144214479
903,2082,Population,0.1930777061418392
904,2082,Resources,0.2359461599366588
905,2083,Food (per capita),0.04916864608076026
906,2083,Industrial output (per capita),0.08890397013912478
908,2083,Population,0.1920597217509332
909,2083,Resources,0.23634204275534446
910,2084,Food (per capita),0.04964370546318303
911,2084,Industrial output (per capita),0.08512423179881638
913,2084,Population,0.1910417373600272
914,2084,Resources,0.2367379255740301
915,2085,Food (per capita),0.05011876484560578
916,2085,Industrial output (per capita),0.08095803642121957
918,2085,Population,0.19056102250876603
919,2085,Resources,0.23713380839271578
920,2086,Food (per capita),0.05059382422802855
921,2086,Industrial output (per capita),0.07640538400633434
923,2086,Population,0.1906175771971497
924,2086,Resources,0.23739773027183952
925,2087,Food (per capita),0.051108471892319894
926,2087,Industrial output (per capita),0.0718527315914491
928,2087,Population,0.19121140142517823
929,2087,Resources,0.2375296912114014
930,2088,Food (per capita),0.051662707838479816
931,2088,Industrial output (per capita),0.06730007917656387
933,2088,Population,0.19180522565320676
934,2088,Resources,0.2375296912114014
935,2089,Food (per capita),0.05225653206650833
936,2089,Industrial output (per capita),0.06274742676167862
938,2089,Population,0.19239904988123527
939,2089,Resources,0.2375296912114014
940,2090,Food (per capita),0.05285035629453685
941,2090,Industrial output (per capita),0.0589205595143838
943,2090,Population,0.19299287410926377
944,2090,Resources,0.2375296912114014
945,2091,Food (per capita),0.05344418052256535
946,2091,Industrial output (per capita),0.055819477434679375
948,2091,Population,0.19398258115597797
949,2091,Resources,0.2375296912114014
950,2092,Food (per capita),0.054038004750593865
951,2092,Industrial output (per capita),0.05344418052256535
953,2092,Population,0.1953681710213778
954,2092,Resources,0.2375296912114014
955,2093,Food (per capita),0.05463182897862238
956,2093,Industrial output (per capita),0.05106888361045134
958,2093,Population,0.1971496437054633
959,2093,Resources,0.2375296912114014
960,2094,Food (per capita),0.05522565320665088
961,2094,Industrial output (per capita),0.048693586698337316
963,2094,Population,0.19893111638954877
964,2094,Resources,0.2375296912114014
965,2095,Food (per capita),0.05532462391132231
966,2095,Industrial output (per capita),0.04711005542359464
968,2095,Population,0.20071258907363432
969,2095,Resources,0.2375296912114014
970,2096,Food (per capita),0.05492874109263665
971,2096,Industrial output (per capita),0.0463182897862233
973,2096,Population,0.20249406175771978
974,2096,Resources,0.2375296912114014
975,2097,Food (per capita),0.0540380047505939
976,2097,Industrial output (per capita),0.0463182897862233
978,2097,Population,0.20354974927421488
979,2097,Resources,0.2375296912114014
980,2098,Food (per capita),0.05314726840855114
981,2098,Industrial output (per capita),0.0463182897862233
983,2098,Population,0.2038796516231196
984,2098,Resources,0.2375296912114014
985,2099,Food (per capita),0.05255344418052265
986,2099,Industrial output (per capita),0.0463182897862233
988,2099,Population,0.2034837688044339
989,2099,Resources,0.2375296912114014
