,Unnamed: 0,local_authorities,y_axis_allcat_rank,x_axis_imd_rank,lad_id,country,levelling_up_categorisation,region,supergroup_name,quadrant,label_2_highest_lowest
288,288,Exeter,308,193,E07000041,England,3,South West,"Business, Education and Heritage Centres",quadrant 4,nolab
289,289,Tunbridge Wells,233,271,E07000116,England,3,South East,Affluent England,quadrant 4,nolab
290,290,South Derbyshire,292,217,E07000039,England,3,East Midlands,Town and Country Living,quadrant 4,nolab
291,291,Epsom and Ewell,215,294,E07000208,England,3,South East,Affluent England,quadrant 4,nolab
292,292,Melton,266,246,E07000133,England,2,East Midlands,Town and Country Living,quadrant 4,nolab
293,293,South Norfolk,291,224,E07000149,England,2,East,Town and Country Living,quadrant 4,nolab
294,294,New Forest,275,240,E07000091,England,3,South East,Countryside Living,quadrant 4,nolab
295,295,Broxtowe,298,222,E07000172,England,2,East Midlands,Town and Country Living,quadrant 4,nolab
296,296,Blaby,249,277,E07000129,England,3,East Midlands,Town and Country Living,quadrant 4,nolab
297,297,Basingstoke and Deane,283,244,E07000084,England,3,South East,Affluent England,quadrant 4,nolab
298,298,Fareham,244,293,E07000087,England,3,South East,Town and Country Living,quadrant 4,nolab
299,299,North Kesteven,274,266,E07000139,England,2,East Midlands,Countryside Living,quadrant 4,nolab
300,300,Hambleton,290,253,E07000164,England,3,Yorkshire and The Humber,Countryside Living,quadrant 4,nolab
301,301,Bracknell Forest,265,280,E06000036,England,3,South East,Affluent England,quadrant 4,nolab
302,302,Mole Valley,257,289,E07000210,England,3,South East,Affluent England,quadrant 4,nolab
303,303,Eastleigh,263,284,E07000086,England,3,South East,Town and Country Living,quadrant 4,nolab
304,304,South Cambridgeshire,254,295,E07000012,England,3,East,Affluent England,quadrant 4,nolab
305,305,Surrey Heath,246,304,E07000214,England,3,South East,Affluent England,quadrant 4,nolab
306,306,South Gloucestershire,289,265,E06000025,England,3,South West,Town and Country Living,quadrant 4,nolab
307,307,Test Valley,302,260,E07000093,England,3,South East,Affluent England,quadrant 4,nolab
308,308,Ribble Valley,285,278,E07000124,England,3,North West,Countryside Living,quadrant 4,nolab
309,309,Waverley,255,308,E07000216,England,3,South East,Affluent England,quadrant 4,lab
310,310,Rushcliffe,297,309,E07000176,England,3,East Midlands,Affluent England,quadrant 4,lab
