Entity,Code,Year,Share of services in GDP at current prices (Herrendorf et al. data),Share of industry in GDP at current prices (Herrendorf et al. data),Share of agriculture in GDP at current prices (Herrendorf et al. data)
United Kingdom,GBR,1938,56.83,39.6,3.57
United Kingdom,GBR,1960,46.74,49.02,4.24
United Kingdom,GBR,1961,47.41,48.4,4.2
United Kingdom,GBR,1962,48.24,47.6,4.17
United Kingdom,GBR,1963,49,47.09,3.91
United Kingdom,GBR,1964,48.48,47.79,3.73
United Kingdom,GBR,1965,49,47.42,3.57
United Kingdom,GBR,1966,49.72,46.74,3.54
United Kingdom,GBR,1967,50.62,45.87,3.5
United Kingdom,GBR,1968,51.19,45.5,3.31
United Kingdom,GBR,1969,50.96,45.65,3.39
United Kingdom,GBR,1970,50.99,45.82,3.19
United Kingdom,GBR,1971,51.95,44.76,3.29
United Kingdom,GBR,1972,52.63,44.22,3.15
United Kingdom,GBR,1973,52.16,44.37,3.46
United Kingdom,GBR,1974,53.89,42.94,3.17
United Kingdom,GBR,1975,55.29,41.63,3.08
United Kingdom,GBR,1976,55.38,41.41,3.21
United Kingdom,GBR,1977,53.59,43.45,2.96
United Kingdom,GBR,1978,53.22,44.01,2.77
United Kingdom,GBR,1979,52.52,44.87,2.61
United Kingdom,GBR,1980,53.44,44.12,2.44
United Kingdom,GBR,1981,54.19,43.28,2.53
United Kingdom,GBR,1982,53.96,43.41,2.63
United Kingdom,GBR,1983,54.57,43.13,2.3
United Kingdom,GBR,1984,54.33,43.05,2.63
United Kingdom,GBR,1985,54.78,43.02,2.2
United Kingdom,GBR,1986,58.34,39.36,2.3
United Kingdom,GBR,1987,57.75,39.98,2.27
United Kingdom,GBR,1988,59.13,38.85,2.03
United Kingdom,GBR,1989,59.11,38.73,2.16
United Kingdom,GBR,1990,60.59,37.26,2.15
United Kingdom,GBR,1991,63.35,34.6,2.05
United Kingdom,GBR,1992,64.74,33.18,2.08
United Kingdom,GBR,1993,65.33,32.51,2.16
United Kingdom,GBR,1994,64.76,33.14,2.1
United Kingdom,GBR,1995,64.11,33.69,2.19
United Kingdom,GBR,1996,64.36,33.61,2.03
United Kingdom,GBR,1997,65.37,32.99,1.63
United Kingdom,GBR,1998,67.04,31.53,1.43
United Kingdom,GBR,1999,68.01,30.64,1.34
United Kingdom,GBR,2000,68.3,30.49,1.21
United Kingdom,GBR,2001,69.3,29.57,1.13
United Kingdom,GBR,2002,71.24,27.62,1.14
United Kingdom,GBR,2003,72.4,26.42,1.17
United Kingdom,GBR,2004,73.09,25.78,1.14
United Kingdom,GBR,2005,73.68,25.24,1.08
United Kingdom,GBR,2006,73.91,25.03,1.05
United Kingdom,GBR,2007,74.18,24.71,1.11
United Kingdom,GBR,2008,74.64,24.09,1.27
United Kingdom,GBR,2009,75.9,22.93,1.17
United Kingdom,GBR,2010,75.34,23.49,1.17
United Kingdom,GBR,2011,74.77,23.99,1.24
United States,USA,1839,38,19.37,42.63
United States,USA,1849,39,24.97,36.03
United States,USA,1859,41,24.71,34.29
United States,USA,1869,37,29.91,33.09
United States,USA,1879,42,29.58,28.42
United States,USA,1889,46,35.03,18.97
United States,USA,1899,47,35.34,17.66
United States,USA,1909,49.76,32.34,17.9
United States,USA,1910,49.21,33.15,17.64
United States,USA,1911,50.95,32.97,16.08
United States,USA,1912,49.81,33.65,16.54
United States,USA,1913,51.34,33.4,15.27
United States,USA,1914,53.35,31.43,15.23
United States,USA,1915,52.72,31.53,15.75
United States,USA,1916,47.71,36.11,16.18
United States,USA,1917,45.76,35.4,18.84
United States,USA,1918,45.23,35.22,19.55
United States,USA,1919,51.99,31.53,16.48
United States,USA,1920,54.51,33.61,11.88
United States,USA,1921,62.82,28,9.18
United States,USA,1922,62.08,28.39,9.53
United States,USA,1923,59.09,31.68,9.23
United States,USA,1924,60.37,29.93,9.7
United States,USA,1925,59.39,30.4,10.21
United States,USA,1926,59.94,30.96,9.1
United States,USA,1927,61.06,29.77,9.16
United States,USA,1928,61.54,29.67,8.79
United States,USA,1929,56.23,33.83,9.94
United States,USA,1930,58.61,32.72,8.67
United States,USA,1931,62.71,28.55,8.75
United States,USA,1932,67.65,24.15,8.2
United States,USA,1933,65.46,25.12,9.42
United States,USA,1934,62.3,29.17,8.53
United States,USA,1935,58.69,29.78,11.53
United States,USA,1936,58.67,32.43,8.9
United States,USA,1937,55.82,33.87,10.31
United States,USA,1938,61.37,29.74,8.89
United States,USA,1939,59.38,32.34,8.29
United States,USA,1940,57.3,35.16,7.54
United States,USA,1941,52.18,39.75,8.06
United States,USA,1942,49.93,40.92,9.15
United States,USA,1943,51.31,39.99,8.71
United States,USA,1944,53.99,37.76,8.25
United States,USA,1945,57.83,33.61,8.57
United States,USA,1946,56.89,33.12,9.99
United States,USA,1947,60.8,31.3,8
United States,USA,1948,58.9,32.7,8.4
United States,USA,1949,61.1,31.8,6.8
United States,USA,1950,59.9,33.7,6.6
United States,USA,1951,58.9,34.4,6.6
United States,USA,1952,60,34,6
United States,USA,1953,60,34.7,5.1
United States,USA,1954,61.8,33.3,5
United States,USA,1955,61.4,34.3,4.4
United States,USA,1956,61.8,34.1,4.1
United States,USA,1957,62.4,33.7,3.9
United States,USA,1958,64,31.6,4.3
United States,USA,1959,64.1,32.3,3.6
United States,USA,1960,64.7,31.6,3.7
United States,USA,1961,65.7,30.7,3.6
United States,USA,1962,65.5,31.2,3.4
United States,USA,1963,65.6,31.2,3.2
United States,USA,1964,66,31.3,2.9
United States,USA,1965,65.3,31.7,3
United States,USA,1966,65.2,32.1,2.9
United States,USA,1967,66.2,31.1,2.7
United States,USA,1968,66.3,31,2.5
United States,USA,1969,67,30.3,2.6
United States,USA,1970,68.6,28.9,2.5
United States,USA,1971,69.4,28.2,2.5
United States,USA,1972,69.2,28.1,2.7
United States,USA,1973,68.1,28.2,3.7
United States,USA,1974,68.7,28,3.2
United States,USA,1975,69.9,27.3,3
United States,USA,1976,69.3,27.9,2.7
United States,USA,1977,69.1,28.5,2.5
United States,USA,1978,69.1,28.4,2.5
United States,USA,1979,68.6,28.7,2.7
United States,USA,1980,69.5,28.3,2.2
United States,USA,1981,69.3,28.3,2.4
United States,USA,1982,71.3,26.7,2.1
United States,USA,1983,72.6,25.8,1.6
United States,USA,1984,72,26,1.9
United States,USA,1985,73.1,25.1,1.8
United States,USA,1986,74.5,23.9,1.6
United States,USA,1987,74.5,23.9,1.6
United States,USA,1988,74.5,24,1.5
United States,USA,1989,74.9,23.7,1.6
United States,USA,1990,75.4,22.9,1.6
United States,USA,1991,76.7,21.9,1.4
United States,USA,1992,77.1,21.3,1.5
United States,USA,1993,77.6,21.2,1.3
United States,USA,1994,77.4,21.2,1.4
United States,USA,1995,77.5,21.4,1.2
United States,USA,1996,77.4,21.2,1.4
United States,USA,1997,77.6,21.2,1.3
United States,USA,1998,78,20.9,1.1
United States,USA,1999,78.4,20.7,1
United States,USA,2000,78.5,20.7,1
United States,USA,2001,79.3,19.7,0.9
United States,USA,2002,80.2,18.9,0.9
United States,USA,2003,79.9,19.1,1
United States,USA,2004,79.5,19.4,1.2
United States,USA,2005,79.4,19.7,1
United States,USA,2006,79.1,20,0.9
United States,USA,2007,79.2,19.9,1
United States,USA,2008,79.5,19.4,1
United States,USA,2009,80.9,18,1
United States,USA,2010,80.8,18,1.1
United States,USA,2011,80.4,18.4,1.3
United States,USA,2012,80.5,18.4,1.2
United States,USA,2013,80,18.6,1.3
United States,USA,2014,80.2,18.8,1.2
United States,USA,2015,81.2,17.9,1
United States,USA,2016,81.9,17.3,0.9
