Quarter Ending,HSC Trust,Specialty,Programme of Care,0 - 6 weeks,> 6 - 9 weeks,> 9 - 13 weeks,> 9 - 12 weeks,> 12-15 weeks,> 15-18 weeks,>18 weeks,> 13 - 26 weeks1,> 26 weeks,Total Waiting ,,,,,,,,,,,
30-Jun-2013,Western,ENT,Acute Services,175,82,--,13,16,17,5,--,--,308,,,,,,,,,,,
30-Jun-2013,Western,Ophthalmology,Acute Services,164,31,--,14,0,0,1,--,--,210,,,,,,,,,,,
30-Sep-2013,Belfast,T & O Surgery,Acute Services,759,162,--,18,18,11,13,--,--,981,,,,,,,,,,,
30-Sep-2013,Belfast,Ophthalmology,Acute Services,293,47,--,17,3,3,5,--,--,368,,,,,,,,,,,
30-Sep-2013,Belfast,Dermatology,Acute Services,103,28,--,2,0,1,2,--,--,136,,,,,,,,,,,
30-Sep-2013,Northern,T & O Surgery,Acute Services,911,75,--,0,0,0,0,--,--,986,,,,,,,,,,,
30-Sep-2013,Northern,ENT,Acute Services,110,4,--,0,39,0,2,--,--,155,,,,,,,,,,,
30-Sep-2013,Northern,Ophthalmology,Acute Services,128,11,--,0,0,0,0,--,--,139,,,,,,,,,,,
30-Sep-2013,Northern,Dermatology,Acute Services,189,73,--,39,23,5,1,--,--,330,,,,,,,,,,,
30-Sep-2013,South Eastern,T & O Surgery,Acute Services,614,136,--,6,2,1,2,--,--,761,,,,,,,,,,,
30-Sep-2013,South Eastern,ENT,Acute Services,105,25,--,1,1,0,0,--,--,132,,,,,,,,,,,
30-Sep-2013,South Eastern,Ophthalmology,Acute Services,155,27,--,0,0,0,0,--,--,182,,,,,,,,,,,
30-Sep-2013,South Eastern,Dermatology,Acute Services,260,81,--,35,6,16,8,--,--,406,,,,,,,,,,,
30-Sep-2013,Southern,Urology,Acute Services,57,38,--,48,37,46,56,--,--,282,,,,,,,,,,,
30-Sep-2013,Southern,T & O Surgery,Acute Services,724,312,--,137,210,55,23,--,--,"1,461",,,,,,,,,,,
30-Sep-2013,Southern,ENT,Acute Services,98,26,--,4,0,1,0,--,--,129,,,,,,,,,,,
30-Sep-2013,Southern,Cardiology,Acute Services,30,13,--,31,18,11,30,--,--,133,,,,,,,,,,,
30-Sep-2013,Southern,Dermatology,Acute Services,215,168,--,142,112,2,0,--,--,639,,,,,,,,,,,
30-Sep-2013,Western,Urology,Acute Services,16,2,--,1,0,0,0,--,--,19,,,,,,,,,,,
30-Sep-2013,Western,T & O Surgery,Acute Services,960,325,--,167,20,2,2,--,--,"1,476",,,,,,,,,,,
30-Sep-2013,Western,ENT,Acute Services,261,86,--,37,15,4,1,--,--,404,,,,,,,,,,,
30-Sep-2013,Western,Ophthalmology,Acute Services,255,15,--,5,6,0,1,--,--,282,,,,,,,,,,,
31-Dec-2013,Belfast,T & O Surgery,Acute Services,458,153,--,39,36,51,25,--,--,762,,,,,,,,,,,
31-Dec-2013,Belfast,Ophthalmology,Acute Services,184,59,--,27,11,1,2,--,--,284,,,,,,,,,,,
31-Dec-2013,Belfast,Dermatology,Acute Services,72,20,--,4,1,0,2,--,--,99,,,,,,,,,,,
31-Dec-2013,Northern,T & O Surgery,Acute Services,785,142,--,0,0,0,0,--,--,927,,,,,,,,,,,
31-Dec-2013,Northern,ENT,Acute Services,123,29,--,1,0,9,21,--,--,183,,,,,,,,,,,
31-Dec-2013,Northern,Ophthalmology,Acute Services,126,7,--,0,0,0,0,--,--,133,,,,,,,,,,,
31-Dec-2013,Northern,Dermatology,Acute Services,199,79,--,33,26,4,0,--,--,341,,,,,,,,,,,
31-Dec-2013,South Eastern,T & O Surgery,Acute Services,606,224,--,4,0,0,0,--,--,834,,,,,,,,,,,
31-Dec-2013,South Eastern,ENT,Acute Services,65,79,--,2,1,1,0,--,--,148,,,,,,,,,,,
31-Dec-2013,South Eastern,Ophthalmology,Acute Services,179,44,--,0,1,0,0,--,--,224,,,,,,,,,,,
31-Dec-2013,South Eastern,Dermatology,Acute Services,159,90,--,65,35,22,23,--,--,394,,,,,,,,,,,
31-Dec-2013,Southern,Urology,Acute Services,76,19,--,36,28,29,32,--,--,220,,,,,,,,,,,
31-Dec-2013,Southern,T & O Surgery,Acute Services,353,309,--,240,31,0,0,--,--,933,,,,,,,,,,,
31-Dec-2013,Southern,ENT,Acute Services,87,16,--,4,2,0,1,--,--,110,,,,,,,,,,,
31-Dec-2013,Southern,Cardiology,Acute Services,54,36,--,23,5,1,0,--,--,119,,,,,,,,,,,
31-Dec-2013,Southern,Dermatology,Acute Services,220,127,--,106,110,77,64,--,--,704,,,,,,,,,,,
31-Dec-2013,Western,Urology,Acute Services,16,3,--,0,0,0,0,--,--,19,,,,,,,,,,,
31-Dec-2013,Western,T & O Surgery,Acute Services,789,362,--,217,48,9,3,--,--,"1,428",,,,,,,,,,,
31-Dec-2013,Western,ENT,Acute Services,248,86,--,37,11,0,0,--,--,382,,,,,,,,,,,
31-Dec-2013,Western,Ophthalmology,Acute Services,163,55,--,21,3,0,0,--,--,242,,,,,,,,,,,
31-Mar-2014,Belfast,T & O Surgery,Acute Services,554,66,--,8,1,2,12,--,--,643,,,,,,,,,,,
31-Mar-2014,Belfast,Ophthalmology,Acute Services,312,104,--,45,21,23,24,--,--,529,,,,,,,,,,,
31-Mar-2014,Belfast,Dermatology,Acute Services,0,0,--,1,0,0,1,--,--,2,,,,,,,,,,,
31-Mar-2014,Northern,T & O Surgery,Acute Services,909,168,--,0,0,0,0,--,--,"1,077",,,,,,,,,,,
31-Mar-2014,Northern,ENT,Acute Services,93,19,--,42,3,0,6,--,--,163,,,,,,,,,,,
31-Mar-2014,Northern,Ophthalmology,Acute Services,144,2,--,1,0,0,0,--,--,147,,,,,,,,,,,
31-Mar-2014,Northern,Dermatology,Acute Services,200,67,--,52,40,12,3,--,--,374,,,,,,,,,,,
31-Mar-2014,South Eastern,T & O Surgery,Acute Services,624,279,--,170,9,0,0,--,--,"1,082",,,,,,,,,,,
31-Mar-2014,South Eastern,ENT,Acute Services,56,4,--,0,0,0,0,--,--,60,,,,,,,,,,,
31-Mar-2014,South Eastern,Ophthalmology,Acute Services,184,56,--,5,0,1,0,--,--,246,,,,,,,,,,,
31-Mar-2014,South Eastern,Dermatology,Acute Services,229,64,--,2,0,0,1,--,--,296,,,,,,,,,,,
31-Mar-2014,Southern,Urology,Acute Services,34,30,--,12,31,44,70,--,--,221,,,,,,,,,,,
31-Mar-2014,Southern,T & O Surgery,Acute Services,589,188,--,1,0,0,0,--,--,778,,,,,,,,,,,
31-Mar-2014,Southern,ENT,Acute Services,121,32,--,0,0,0,0,--,--,153,,,,,,,,,,,
31-Mar-2014,Southern,Cardiology,Acute Services,58,10,--,8,3,0,0,--,--,79,,,,,,,,,,,
31-Mar-2014,Southern,Dermatology,Acute Services,257,116,--,106,58,107,28,--,--,672,,,,,,,,,,,
31-Mar-2014,Western,Urology,Acute Services,27,0,--,0,0,0,0,--,--,27,,,,,,,,,,,
31-Mar-2014,Western,T & O Surgery,Acute Services,745,300,--,159,43,16,14,--,--,"1,277",,,,,,,,,,,
31-Mar-2014,Western,ENT,Acute Services,219,74,--,44,14,32,37,--,--,420,,,,,,,,,,,
31-Mar-2014,Western,Ophthalmology,Acute Services,235,46,--,6,0,0,0,--,--,287,,,,,,,,,,,
30-Jun-2014,Belfast,T & O Surgery,Acute Services,744,110,--,16,5,1,6,--,--,882,,,,,,,,,,,
30-Jun-2014,Belfast,Ophthalmology,Acute Services,368,149,--,81,18,1,5,--,--,622,,,,,,,,,,,
30-Jun-2014,Belfast,Dermatology,Acute Services,25,2,--,3,0,0,1,--,--,31,,,,,,,,,,,
30-Jun-2014,Northern,T & O Surgery,Acute Services,"1,135",211,--,61,4,1,0,--,--,"1,412",,,,,,,,,,,
30-Jun-2014,Northern,ENT,Acute Services,96,9,--,1,3,39,78,--,--,226,,,,,,,,,,,
30-Jun-2014,Northern,Ophthalmology,Acute Services,138,23,--,0,0,0,0,--,--,161,,,,,,,,,,,
30-Jun-2014,Northern,Dermatology,Acute Services,188,77,--,61,31,9,36,--,--,402,,,,,,,,,,,
30-Jun-2014,South Eastern,T & O Surgery,Acute Services,764,244,--,217,153,33,0,--,--,"1,411",,,,,,,,,,,
30-Jun-2014,South Eastern,ENT,Acute Services,22,30,--,2,0,0,0,--,--,54,,,,,,,,,,,
30-Jun-2014,South Eastern,Ophthalmology,Acute Services,173,45,--,10,1,0,0,--,--,229,,,,,,,,,,,
30-Jun-2014,South Eastern,Dermatology,Acute Services,116,46,--,0,0,0,0,--,--,162,,,,,,,,,,,
30-Jun-2014,Southern,Urology,Acute Services,41,15,--,17,7,21,121,--,--,222,,,,,,,,,,,
30-Jun-2014,Southern,T & O Surgery,Acute Services,907,386,--,128,26,0,1,--,--,"1,448",,,,,,,,,,,
30-Jun-2014,Southern,ENT,Acute Services,119,31,--,1,0,0,0,--,--,151,,,,,,,,,,,
30-Jun-2014,Southern,Cardiology,Acute Services,56,23,--,9,3,0,0,--,--,91,,,,,,,,,,,
30-Jun-2014,Southern,Dermatology,Acute Services,20,65,--,100,103,122,379,--,--,789,,,,,,,,,,,
30-Jun-2014,Western,Urology,Acute Services,24,0,--,2,0,1,1,--,--,28,,,,,,,,,,,
30-Jun-2014,Western,T & O Surgery,Acute Services,991,296,--,119,28,14,3,--,--,"1,451",,,,,,,,,,,
30-Jun-2014,Western,ENT,Acute Services,229,17,--,0,10,0,0,--,--,256,,,,,,,,,,,
30-Jun-2014,Western,Ophthalmology,Acute Services,276,68,--,33,22,9,3,--,--,411,,,,,,,,,,,
30-Sep-2014,Belfast,T & O Surgery,Acute Services,766,242,--,19,1,0,0,--,--,"1,028",,,,,,,,,,,
30-Sep-2014,Belfast,Ophthalmology,Acute Services,302,119,--,126,66,57,15,--,--,685,,,,,,,,,,,
30-Sep-2014,Belfast,Dermatology,Acute Services,33,3,--,2,10,10,0,--,--,58,,,,,,,,,,,
30-Sep-2014,Northern,T & O Surgery,Acute Services,"1,063",190,--,17,4,1,0,--,--,"1,275",,,,,,,,,,,
30-Sep-2014,Northern,ENT,Acute Services,79,12,--,0,51,143,52,--,--,337,,,,,,,,,,,
30-Sep-2014,Northern,Ophthalmology,Acute Services,173,16,--,0,0,0,0,--,--,189,,,,,,,,,,,
30-Sep-2014,Northern,Dermatology,Acute Services,176,76,--,53,63,4,29,--,--,401,,,,,,,,,,,
30-Sep-2014,South Eastern,T & O Surgery,Acute Services,681,280,--,229,238,182,25,--,--,"1,635",,,,,,,,,,,
30-Sep-2014,South Eastern,Ophthalmology,Acute Services,123,30,--,10,20,1,0,--,--,184,,,,,,,,,,,
30-Sep-2014,South Eastern,Dermatology,Acute Services,176,26,--,0,0,0,0,--,--,202,,,,,,,,,,,
30-Sep-2014,Southern,Urology,Acute Services,25,14,--,18,23,16,69,--,--,165,,,,,,,,,,,
30-Sep-2014,Southern,T & O Surgery,Acute Services,285,322,--,317,286,27,2,--,--,"1,239",,,,,,,,,,,
30-Sep-2014,Southern,ENT,Acute Services,121,49,--,3,2,2,0,--,--,177,,,,,,,,,,,
30-Sep-2014,Southern,Cardiology,Acute Services,51,6,--,5,1,0,2,--,--,65,,,,,,,,,,,
30-Sep-2014,Southern,Dermatology,Acute Services,17,0,--,2,2,12,421,--,--,454,,,,,,,,,,,
30-Sep-2014,Western,Urology,Acute Services,20,0,--,0,0,0,0,--,--,20,,,,,,,,,,,
30-Sep-2014,Western,T & O Surgery,Acute Services,862,353,--,252,84,49,32,--,--,"1,632",,,,,,,,,,,
30-Sep-2014,Western,ENT,Acute Services,331,106,--,118,12,0,0,--,--,567,,,,,,,,,,,
30-Sep-2014,Western,Ophthalmology,Acute Services,313,68,--,36,6,0,0,--,--,423,,,,,,,,,,,
31-Dec-2014,Belfast,T & O Surgery,Acute Services,606,203,--,18,0,0,1,--,--,828,,,,,,,,,,,
31-Dec-2014,Belfast,Ophthalmology,Acute Services,125,101,--,91,77,63,77,--,--,534,,,,,,,,,,,
31-Dec-2014,Belfast,Dermatology,Acute Services,96,34,--,31,28,13,23,--,--,225,,,,,,,,,,,
31-Dec-2014,Northern,T & O Surgery,Acute Services,767,174,--,4,0,0,0,--,--,945,,,,,,,,,,,
31-Dec-2014,Northern,ENT,Acute Services,121,9,--,0,1,16,157,--,--,304,,,,,,,,,,,
31-Dec-2014,Northern,Ophthalmology,Acute Services,178,33,--,0,0,0,0,--,--,211,,,,,,,,,,,
31-Dec-2014,Northern,Dermatology,Acute Services,165,104,--,87,18,9,27,--,--,410,,,,,,,,,,,
31-Dec-2014,South Eastern,T & O Surgery,Acute Services,482,223,--,270,201,206,41,--,--,"1,423",,,,,,,,,,,
31-Dec-2014,South Eastern,Ophthalmology,Acute Services,137,66,--,36,10,10,22,--,--,281,,,,,,,,,,,
31-Dec-2014,South Eastern,Dermatology,Acute Services,149,38,--,2,0,0,31,--,--,220,,,,,,,,,,,
31-Dec-2014,Southern,Urology,Acute Services,4,5,--,5,13,6,86,--,--,119,,,,,,,,,,,
31-Dec-2014,Southern,T & O Surgery,Acute Services,559,404,--,331,322,206,21,--,--,"1,843",,,,,,,,,,,
31-Dec-2014,Southern,ENT,Acute Services,103,32,--,8,6,0,0,--,--,149,,,,,,,,,,,
31-Dec-2014,Southern,Cardiology,Acute Services,34,2,--,0,0,0,1,--,--,37,,,,,,,,,,,
31-Dec-2014,Southern,Dermatology,Acute Services,17,3,--,3,4,5,144,--,--,176,,,,,,,,,,,
31-Dec-2014,Western,Urology,Acute Services,13,0,--,0,0,0,0,--,--,13,,,,,,,,,,,
31-Dec-2014,Western,T & O Surgery,Acute Services,615,284,--,252,260,103,53,--,--,"1,567",,,,,,,,,,,
31-Dec-2014,Western,ENT,Acute Services,250,173,--,157,129,147,85,--,--,941,,,,,,,,,,,
31-Dec-2014,Western,Ophthalmology,Acute Services,295,114,--,53,16,1,0,--,--,479,,,,,,,,,,,
31-Mar-2015,Belfast,T & O Surgery,Acute Services,792,153,--,6,0,1,1,--,--,953,,,,,,,,,,,
31-Mar-2015,Belfast,Ophthalmology,Acute Services,215,90,--,51,10,6,52,--,--,424,,,,,,,,,,,
31-Mar-2015,Belfast,Dermatology,Acute Services,113,29,--,11,2,0,1,--,--,156,,,,,,,,,,,
31-Mar-2015,Northern,T & O Surgery,Acute Services,976,130,--,0,0,0,0,--,--,"1,106",,,,,,,,,,,
31-Mar-2015,Northern,ENT,Acute Services,238,45,--,8,1,2,44,--,--,338,,,,,,,,,,,
31-Mar-2015,Northern,Ophthalmology,Acute Services,185,25,--,0,0,0,0,--,--,210,,,,,,,,,,,
31-Mar-2015,Northern,Dermatology,Acute Services,244,46,--,6,1,0,45,--,--,342,,,,,,,,,,,
31-Mar-2015,South Eastern,T & O Surgery,Acute Services,643,238,--,208,136,145,217,--,--,"1,587",,,,,,,,,,,
31-Mar-2015,South Eastern,Ophthalmology,Acute Services,144,67,--,27,2,0,9,--,--,249,,,,,,,,,,,
31-Mar-2015,South Eastern,Dermatology,Acute Services,264,65,--,4,0,0,22,--,--,355,,,,,,,,,,,
31-Mar-2015,Southern,Urology,Acute Services,0,1,--,0,0,2,95,--,--,98,,,,,,,,,,,
31-Mar-2015,Southern,T & O Surgery,Acute Services,506,308,--,274,172,257,251,--,--,"1,768",,,,,,,,,,,
31-Mar-2015,Southern,ENT,Acute Services,93,31,--,8,2,0,0,--,--,134,,,,,,,,,,,
31-Mar-2015,Southern,Cardiology,Acute Services,45,6,--,0,1,0,0,--,--,52,,,,,,,,,,,
31-Mar-2015,Southern,Dermatology,Acute Services,85,6,--,6,0,2,17,--,--,116,,,,,,,,,,,
31-Mar-2015,Western,Urology,Acute Services,19,5,--,3,0,0,0,--,--,27,,,,,,,,,,,
31-Mar-2015,Western,T & O Surgery,Acute Services,791,252,--,235,107,196,319,--,--,"1,900",,,,,,,,,,,
31-Mar-2015,Western,ENT,Acute Services,259,153,--,126,54,142,520,--,--,"1,254",,,,,,,,,,,
31-Mar-2015,Western,Ophthalmology,Acute Services,339,60,--,4,1,1,0,--,--,405,,,,,,,,,,,
31-Mar-2015,Western,Cardiology,Acute Services,32,0,--,0,0,0,0,--,--,32,,,,,,,,,,,
30-Jun-2015,Belfast,T & O Surgery,Acute Services,821,160,--,38,3,1,3,--,--,"1,026",,,,,,,,,,,
30-Jun-2015,Belfast,Ophthalmology,Acute Services,268,96,--,62,11,4,20,--,--,461,,,,,,,,,,,
30-Jun-2015,Belfast,Dermatology,Acute Services,135,32,--,30,3,0,18,--,--,218,,,,,,,,,,,
30-Jun-2015,Northern,T & O Surgery,Acute Services,429,310,--,73,7,0,0,--,--,819,,,,,,,,,,,
30-Jun-2015,Northern,ENT,Acute Services,255,97,--,33,10,0,54,--,--,449,,,,,,,,,,,
30-Jun-2015,Northern,Ophthalmology,Acute Services,204,35,--,0,0,0,0,--,--,239,,,,,,,,,,,
30-Jun-2015,Northern,Dermatology,Acute Services,136,14,--,1,0,0,31,--,--,182,,,,,,,,,,,
30-Jun-2015,South Eastern,T & O Surgery,Acute Services,745,308,--,221,138,129,97,--,--,"1,638",,,,,,,,,,,
30-Jun-2015,South Eastern,Ophthalmology,Acute Services,194,30,--,15,2,0,15,--,--,256,,,,,,,,,,,
30-Jun-2015,South Eastern,Dermatology,Acute Services,238,12,--,1,0,0,1,--,--,252,,,,,,,,,,,
30-Jun-2015,Southern,Urology,Acute Services,1,0,--,0,0,0,53,--,--,54,,,,,,,,,,,
30-Jun-2015,Southern,T & O Surgery,Acute Services,678,279,--,228,213,239,316,--,--,"1,953",,,,,,,,,,,
30-Jun-2015,Southern,ENT,Acute Services,89,22,--,1,0,0,0,--,--,112,,,,,,,,,,,
30-Jun-2015,Southern,Cardiology,Acute Services,62,17,--,2,0,1,3,--,--,85,,,,,,,,,,,
30-Jun-2015,Southern,Dermatology,Acute Services,138,83,--,53,48,39,13,--,--,374,,,,,,,,,,,
30-Jun-2015,Western,Urology,Acute Services,16,1,--,0,0,0,0,--,--,17,,,,,,,,,,,
30-Jun-2015,Western,T & O Surgery,Acute Services,793,368,--,196,179,249,437,--,--,"2,222",,,,,,,,,,,
30-Jun-2015,Western,Ophthalmology,Acute Services,324,151,--,59,18,0,0,--,--,552,,,,,,,,,,,
30-Sep-2015,Belfast,T & O Surgery,Acute Services,791,361,--,72,35,7,14,--,--,"1,280",,,,,,,,,,,
30-Sep-2015,Belfast,Ophthalmology,Acute Services,279,78,--,21,12,3,272,--,--,665,,,,,,,,,,,
30-Sep-2015,Belfast,Dermatology,Acute Services,129,36,--,74,33,14,10,--,--,296,,,,,,,,,,,
30-Sep-2015,Northern,T & O Surgery,Acute Services,"1,068",339,--,205,92,1,1,--,--,"1,706",,,,,,,,,,,
30-Sep-2015,Northern,ENT,Acute Services,288,53,--,30,43,5,45,--,--,464,,,,,,,,,,,
30-Sep-2015,Northern,Ophthalmology,Acute Services,228,66,--,18,0,0,0,--,--,312,,,,,,,,,,,
30-Sep-2015,Northern,Dermatology,Acute Services,165,63,--,13,23,6,31,--,--,301,,,,,,,,,,,
30-Sep-2015,South Eastern,T & O Surgery,Acute Services,611,239,--,187,206,153,102,--,--,"1,498",,,,,,,,,,,
30-Sep-2015,South Eastern,Ophthalmology,Acute Services,233,33,--,13,3,1,40,--,--,323,,,,,,,,,,,
30-Sep-2015,South Eastern,Dermatology,Acute Services,180,23,--,0,0,0,8,--,--,211,,,,,,,,,,,
30-Sep-2015,Southern,Urology,Acute Services,0,0,--,0,0,0,30,--,--,30,,,,,,,,,,,
30-Sep-2015,Southern,T & O Surgery,Acute Services,542,343,--,296,313,303,500,--,--,"2,297",,,,,,,,,,,
30-Sep-2015,Southern,ENT,Acute Services,125,9,--,0,0,0,0,--,--,134,,,,,,,,,,,
30-Sep-2015,Southern,Cardiology,Acute Services,76,21,--,19,3,2,1,--,--,122,,,,,,,,,,,
30-Sep-2015,Southern,Dermatology,Acute Services,162,60,--,23,56,26,6,--,--,333,,,,,,,,,,,
30-Sep-2015,Western,Urology,Acute Services,9,1,--,0,0,0,0,--,--,10,,,,,,,,,,,
30-Sep-2015,Western,T & O Surgery,Acute Services,635,244,--,214,295,230,635,--,--,"2,253",,,,,,,,,,,
30-Sep-2015,Western,Ophthalmology,Acute Services,278,91,--,68,67,40,24,--,--,568,,,,,,,,,,,
30-Sep-2015,Western,Cardiology,Acute Services,14,1,--,0,0,0,0,--,--,15,,,,,,,,,,,
31-Dec-2015,Belfast,T & O Surgery,Acute Services,601,293,--,143,26,9,9,--,--,"1,081",,,,,,,,,,,
31-Dec-2015,Belfast,Ophthalmology,Acute Services,224,42,--,17,8,16,121,--,--,428,,,,,,,,,,,
31-Dec-2015,Belfast,Dermatology,Acute Services,126,55,--,23,14,0,2,--,--,220,,,,,,,,,,,
31-Dec-2015,Northern,T & O Surgery,Acute Services,850,191,--,13,0,0,0,--,--,"1,054",,,,,,,,,,,
31-Dec-2015,Northern,ENT,Acute Services,260,101,--,44,20,1,8,--,--,434,,,,,,,,,,,
31-Dec-2015,Northern,Ophthalmology,Acute Services,173,51,--,25,4,2,0,--,--,255,,,,,,,,,,,
31-Dec-2015,Northern,Dermatology,Acute Services,182,82,--,16,2,0,12,--,--,294,,,,,,,,,,,
31-Dec-2015,South Eastern,T & O Surgery,Acute Services,517,256,--,143,84,65,38,--,--,"1,103",,,,,,,,,,,
31-Dec-2015,South Eastern,Ophthalmology,Acute Services,134,60,--,27,14,2,5,--,--,242,,,,,,,,,,,
31-Dec-2015,South Eastern,Dermatology,Acute Services,211,25,--,5,2,0,58,--,--,301,,,,,,,,,,,
31-Dec-2015,Southern,Urology,Acute Services,0,0,--,1,0,0,11,--,--,12,,,,,,,,,,,
31-Dec-2015,Southern,T & O Surgery,Acute Services,153,295,--,279,282,273,635,--,--,"1,917",,,,,,,,,,,
31-Dec-2015,Southern,ENT,Acute Services,119,24,--,2,0,0,0,--,--,145,,,,,,,,,,,
31-Dec-2015,Southern,Cardiology,Acute Services,60,56,--,46,39,21,9,--,--,231,,,,,,,,,,,
31-Dec-2015,Southern,Dermatology,Acute Services,10,4,--,2,0,0,1,--,--,17,,,,,,,,,,,
31-Dec-2015,Western,Urology,Acute Services,30,1,--,0,0,0,0,--,--,31,,,,,,,,,,,
31-Dec-2015,Western,T & O Surgery,Acute Services,453,221,--,231,206,184,581,--,--,"1,876",,,,,,,,,,,
31-Dec-2015,Western,Ophthalmology,Acute Services,280,120,--,56,33,40,82,--,--,611,,,,,,,,,,,
31-Dec-2015,Western,Cardiology,Acute Services,4,0,--,0,0,0,0,--,--,4,,,,,,,,,,,
31-Mar-2016,Belfast,T & O Surgery,Acute Services,602,430,--,176,25,5,29,--,--,"1,267",,,,,,,,,,,
31-Mar-2016,Belfast,Ophthalmology,Acute Services,289,126,--,55,16,16,182,--,--,684,,,,,,,,,,,
31-Mar-2016,Belfast,Dermatology,Acute Services,134,56,--,5,1,0,4,--,--,200,,,,,,,,,,,
31-Mar-2016,Northern,T & O Surgery,Acute Services,"1,347",310,--,22,13,6,5,--,--,"1,703",,,,,,,,,,,
31-Mar-2016,Northern,ENT,Acute Services,318,133,--,64,21,12,37,--,--,585,,,,,,,,,,,
31-Mar-2016,Northern,Ophthalmology,Acute Services,167,26,--,9,0,1,0,--,--,203,,,,,,,,,,,
31-Mar-2016,Northern,Dermatology,Acute Services,183,26,--,6,0,1,18,--,--,234,,,,,,,,,,,
31-Mar-2016,South Eastern,T & O Surgery,Acute Services,260,23,--,6,3,1,2,--,--,295,,,,,,,,,,,
31-Mar-2016,South Eastern,Ophthalmology,Acute Services,144,24,--,21,3,2,5,--,--,199,,,,,,,,,,,
31-Mar-2016,South Eastern,Dermatology,Acute Services,315,40,--,24,6,9,12,--,--,406,,,,,,,,,,,
31-Mar-2016,Southern,Urology,Acute Services,0,0,--,0,0,0,5,--,--,5,,,,,,,,,,,
31-Mar-2016,Southern,T & O Surgery,Acute Services,602,260,--,234,214,222,472,--,--,"2,004",,,,,,,,,,,
31-Mar-2016,Southern,ENT,Acute Services,110,56,--,23,4,2,0,--,--,195,,,,,,,,,,,
31-Mar-2016,Southern,Cardiology,Acute Services,55,21,--,19,12,18,23,--,--,148,,,,,,,,,,,
31-Mar-2016,Southern,Dermatology,Acute Services,0,0,--,0,0,3,0,--,--,3,,,,,,,,,,,
31-Mar-2016,Western,Urology,Acute Services,32,10,--,0,0,0,0,--,--,42,,,,,,,,,,,
31-Mar-2016,Western,T & O Surgery,Acute Services,644,250,--,213,98,90,379,--,--,"1,674",,,,,,,,,,,
31-Mar-2016,Western,Ophthalmology,Acute Services,267,77,--,50,18,44,59,--,--,515,,,,,,,,,,,
31-Mar-2016,Western,Cardiology,Acute Services,7,1,--,0,0,0,0,--,--,8,,,,,,,,,,,
30-Jun-2016,Belfast,T & O Surgery,Acute Services,29,5,--,1,50,25,32,--,--,142,,,,,,,,,,,
30-Jun-2016,Belfast,Ophthalmology,Acute Services,380,111,--,87,87,78,193,--,--,936,,,,,,,,,,,
30-Jun-2016,Belfast,Dermatology,Acute Services,142,43,--,29,4,1,5,--,--,224,,,,,,,,,,,
30-Jun-2016,Northern,T & O Surgery,Acute Services,1375,521,--,193,11,4,0,--,--,"2,104",,,,,,,,,,,
30-Jun-2016,Northern,ENT,Acute Services,214,97,--,121,80,68,23,--,--,603,,,,,,,,,,,
30-Jun-2016,Northern,Ophthalmology,Acute Services,206,2,--,1,0,0,0,--,--,209,,,,,,,,,,,
30-Jun-2016,Northern,Dermatology,Acute Services,120,28,--,4,1,6,17,--,--,176,,,,,,,,,,,
30-Jun-2016,South Eastern,T & O Surgery,Acute Services,10,6,--,1,1,0,1,--,--,19,,,,,,,,,,,
30-Jun-2016,South Eastern,Ophthalmology,Acute Services,136,15,--,11,3,3,11,--,--,179,,,,,,,,,,,
30-Jun-2016,South Eastern,Dermatology,Acute Services,189,86,--,97,35,16,8,--,--,431,,,,,,,,,,,
30-Jun-2016,Southern,Urology,Acute Services,0,0,--,0,0,0,1,--,--,1,,,,,,,,,,,
30-Jun-2016,Southern,T & O Surgery,Acute Services,567,245,--,240,178,137,63,--,--,"1,430",,,,,,,,,,,
30-Jun-2016,Southern,ENT,Acute Services,119,47,--,23,7,4,6,--,--,206,,,,,,,,,,,
30-Jun-2016,Southern,Cardiology,Acute Services,50,40,--,29,7,3,15,--,--,144,,,,,,,,,,,
30-Jun-2016,Southern,Dermatology,Acute Services,1,0,--,0,0,0,0,--,--,1,,,,,,,,,,,
30-Jun-2016,Western,Urology,Acute Services,29,4,--,3,0,0,0,--,--,36,,,,,,,,,,,
30-Jun-2016,Western,T & O Surgery,Acute Services,689,276,--,257,144,117,220,--,--,"1,703",,,,,,,,,,,
30-Jun-2016,Western,Ophthalmology,Acute Services,358,95,--,61,40,27,4,--,--,585,,,,,,,,,,,
30-Jun-2016,Western,Cardiology,Acute Services,8,0,--,0,0,5,0,--,--,13,,,,,,,,,,,
30-Sep-2016,Belfast,T & O Surgery,Acute Services,921,410,--,327,185,38,32,--,--,"1,913",,,,,,,,,,,
30-Sep-2016,Belfast,Ophthalmology,Acute Services,324,173,--,82,151,120,308,--,--,"1,158",,,,,,,,,,,
30-Sep-2016,Belfast,Dermatology,Acute Services,174,32,--,3,5,4,38,--,--,256,,,,,,,,,,,
30-Sep-2016,Northern,T & O Surgery,Acute Services,1502,384,--,297,306,84,3,--,--,"2,576",,,,,,,,,,,
30-Sep-2016,Northern,ENT,Acute Services,193,63,--,83,82,65,67,--,--,553,,,,,,,,,,,
30-Sep-2016,Northern,Ophthalmology,Acute Services,216,95,--,36,3,0,0,--,--,350,,,,,,,,,,,
30-Sep-2016,Northern,Dermatology,Acute Services,132,9,--,10,17,23,32,--,--,223,,,,,,,,,,,
