Quarter Ending,HSC Trust,Specialty,Programme Of Care,0 - 6 weeks,> 6 - 9 weeks,> 9 - 13 weeks,> 9 - 12 weeks,> 12-15 weeks,> 15-18 weeks,>18-26 weeks,>26-39 weeks,>39-52 weeks,>52-65 weeks,>65-78 weeks,>78-91 weeks,>91-104 weeks,>104 weeks,>18 weeks,>18-52 weeks,> 13 - 26 weeks,>52 weeks,> 26 weeks,Total Waiting
31-Mar-2011,South Eastern,Paediatric Surgery,Acute Services,46,6,1,,,,,,,,,,,,,,1,,0,54
31-Mar-2011,South Eastern,Pain Management,Acute Services,148,108,35,,,,,,,,,,,,,,0,,0,291
31-Mar-2011,South Eastern,General Medicine,Acute Services,644,195,151,,,,,,,,,,,,,,455,,28,"1,473"
31-Mar-2011,South Eastern,Gastroenterology,Acute Services,49,11,11,,,,,,,,,,,,,,22,,0,93
31-Mar-2011,South Eastern,Endocrinology,Acute Services,12,6,3,,,,,,,,,,,,,,0,,0,21
31-Mar-2011,South Eastern,Haematology (Clinical),Acute Services,37,7,0,,,,,,,,,,,,,,0,,0,44
31-Mar-2011,South Eastern,Palliative Medicine,Acute Services,2,0,0,,,,,,,,,,,,,,0,,0,2
31-Mar-2011,South Eastern,Cardiology,Acute Services,294,95,1,,,,,,,,,,,,,,0,,0,390
31-Mar-2011,South Eastern,Dermatology,Acute Services,587,228,123,,,,,,,,,,,,,,257,,76,"1,271"
31-Mar-2011,South Eastern,Thoracic Medicine,Acute Services,163,78,84,,,,,,,,,,,,,,70,,3,398
31-Mar-2011,South Eastern,Nephrology,Acute Services,44,1,0,,,,,,,,,,,,,,0,,0,45
31-Mar-2011,South Eastern,Neurology,Acute Services,140,70,49,,,,,,,,,,,,,,154,,15,428
31-Mar-2011,South Eastern,Rheumatology,Acute Services,311,131,117,,,,,,,,,,,,,,252,,8,819
31-Mar-2011,South Eastern,Paediatrics,Acute Services,310,77,7,,,,,,,,,,,,,,1,,0,395
31-Mar-2011,South Eastern,Geriatric Medicine,Elderly Care,151,23,0,,,,,,,,,,,,,,0,,0,174
31-Mar-2011,South Eastern,Gynaecology,Acute Services,931,280,73,,,,,,,,,,,,,,11,,0,"1,295"
31-Mar-2011,South Eastern,Old Age Psychiatry,Elderly Care,146,25,0,,,,,,,,,,,,,,0,,0,171
31-Mar-2011,Southern,General Surgery,Acute Services,"1,799",327,0,,,,,,,,,,,,,,0,,0,"2,126"
31-Mar-2011,Southern,Urology,Acute Services,288,64,0,,,,,,,,,,,,,,0,,0,352
31-Mar-2011,Southern,T & O Surgery,Acute Services,473,123,9,,,,,,,,,,,,,,1,,0,606
31-Mar-2011,Southern,ENT,Acute Services,"1,392",496,0,,,,,,,,,,,,,,0,,0,"1,888"
31-Mar-2011,Southern,Ophthalmology,Acute Services,825,295,296,,,,,,,,,,,,,,978,,2,"2,396"
31-Mar-2011,Southern,Oral Surgery,Acute Services,247,116,111,,,,,,,,,,,,,,269,,187,930
31-Mar-2011,Southern,Paediatric Dentistry,Acute Services,0,2,1,,,,,,,,,,,,,,1,,0,4
31-Mar-2011,Southern,Orthodontics,Acute Services,57,13,0,,,,,,,,,,,,,,0,,0,70
31-Mar-2011,Southern,Thoracic Surgery,Acute Services,3,1,0,,,,,,,,,,,,,,0,,0,4
31-Mar-2011,Southern,Accident & Emergency,Acute Services,1,0,0,,,,,,,,,,,,,,0,,0,1
31-Mar-2011,Southern,Pain Management,Acute Services,169,44,0,,,,,,,,,,,,,,0,,0,213
31-Mar-2011,Southern,General Medicine,Acute Services,327,76,0,,,,,,,,,,,,,,0,,0,403
31-Mar-2011,Southern,Gastroenterology,Acute Services,96,19,0,,,,,,,,,,,,,,0,,0,115
31-Mar-2011,Southern,Endocrinology,Acute Services,83,28,0,,,,,,,,,,,,,,0,,0,111
31-Mar-2011,Southern,Haematology (Clinical),Acute Services,49,11,0,,,,,,,,,,,,,,0,,0,60
31-Mar-2011,Southern,Palliative Medicine,Acute Services,2,0,0,,,,,,,,,,,,,,0,,0,2
31-Mar-2011,Southern,Cardiology,Acute Services,411,101,0,,,,,,,,,,,,,,0,,0,512
31-Mar-2011,Southern,Dermatology,Acute Services,"1,084",432,423,,,,,,,,,,,,,,350,,0,"2,289"
31-Mar-2011,Southern,Thoracic Medicine,Acute Services,132,70,0,,,,,,,,,,,,,,0,,0,202
31-Mar-2011,Southern,Genito-Urinary Medicine,Acute Services,8,0,0,,,,,,,,,,,,,,0,,0,8
31-Mar-2011,Southern,Nephrology,Acute Services,12,0,0,,,,,,,,,,,,,,0,,0,12
31-Mar-2011,Southern,Neurology,Acute Services,234,67,0,,,,,,,,,,,,,,0,,0,301
31-Mar-2011,Southern,Rheumatology,Acute Services,311,106,88,,,,,,,,,,,,,,68,,0,573
31-Mar-2011,Southern,Paediatrics,Acute Services,507,129,19,,,,,,,,,,,,,,22,,5,682
31-Mar-2011,Southern,Geriatric Medicine,Elderly Care,40,2,0,,,,,,,,,,,,,,0,,0,42
31-Mar-2011,Southern,Gynaecology,Acute Services,"1,059",264,0,,,,,,,,,,,,,,0,,0,"1,323"
31-Mar-2011,Southern,Learning Disability,Learning Disability,9,0,0,,,,,,,,,,,,,,0,,0,9
31-Mar-2011,Southern,Old Age Psychiatry,Elderly Care,70,6,0,,,,,,,,,,,,,,0,,0,76
31-Mar-2011,Southern,Chemical Pathology,Acute Services,12,0,0,,,,,,,,,,,,,,0,,0,12
31-Mar-2011,Western,General Surgery,Acute Services,"1,370",388,324,,,,,,,,,,,,,,326,,83,"2,491"
31-Mar-2011,Western,Urology,Acute Services,284,62,58,,,,,,,,,,,,,,49,,0,453
31-Mar-2011,Western,T & O Surgery,Acute Services,"1,161",318,148,,,,,,,,,,,,,,218,,103,"1,948"
31-Mar-2011,Western,ENT,Acute Services,"1,059",324,89,,,,,,,,,,,,,,0,,0,"1,472"
31-Mar-2011,Western,Ophthalmology,Acute Services,"1,119",437,357,,,,,,,,,,,,,,918,,487,"3,318"
31-Mar-2011,Western,Oral Surgery,Acute Services,623,219,171,,,,,,,,,,,,,,266,,0,"1,279"
31-Mar-2011,Western,Orthodontics,Acute Services,63,14,0,,,,,,,,,,,,,,0,,0,77
31-Mar-2011,Western,Pain Management,Acute Services,113,33,0,,,,,,,,,,,,,,0,,0,146
31-Mar-2011,Western,General Medicine,Acute Services,733,201,158,,,,,,,,,,,,,,224,,17,"1,333"
31-Mar-2011,Western,Haematology (Clinical),Acute Services,25,3,0,,,,,,,,,,,,,,0,,0,28
31-Mar-2011,Western,Palliative Medicine,Acute Services,10,1,0,,,,,,,,,,,,,,0,,0,11
31-Mar-2011,Western,Cardiology,Acute Services,227,29,3,,,,,,,,,,,,,,0,,0,259
31-Mar-2011,Western,Dermatology,Acute Services,567,33,0,,,,,,,,,,,,,,0,,0,600
31-Mar-2011,Western,Genito-Urinary Medicine,Acute Services,158,0,0,,,,,,,,,,,,,,0,,0,158
31-Mar-2011,Western,Nephrology,Acute Services,48,7,1,,,,,,,,,,,,,,0,,0,56
31-Mar-2011,Western,Neurology,Acute Services,290,127,124,,,,,,,,,,,,,,404,,340,"1,285"
31-Mar-2011,Western,Rheumatology,Acute Services,234,32,0,,,,,,,,,,,,,,0,,0,266
31-Mar-2011,Western,Paediatrics,Acute Services,323,108,38,,,,,,,,,,,,,,64,,0,533
31-Mar-2011,Western,Geriatric Medicine,Elderly Care,56,3,0,,,,,,,,,,,,,,0,,0,59
31-Mar-2011,Western,Gynaecology,Acute Services,900,292,126,,,,,,,,,,,,,,28,,1,"1,347"
31-Mar-2011,Western,Learning Disability,Learning Disability,10,1,0,,,,,,,,,,,,,,0,,0,11
31-Mar-2011,Western,Chemical Pathology,Acute Services,11,3,2,,,,,,,,,,,,,,0,,0,16
30-Jun-2011,Belfast,General Surgery,Acute Services,"2,057",387,,30,8,0,,,,,,,,,0,,,,,"2,482"
30-Jun-2011,Belfast,Urology,Acute Services,655,202,,202,211,218,,,,,,,,,232,,,,,"1,720"
30-Jun-2011,Belfast,T & O Surgery,Acute Services,"4,046","1,388",,70,87,31,,,,,,,,,1,,,,,"5,623"
30-Jun-2011,Belfast,ENT,Acute Services,"1,849",675,,353,39,0,,,,,,,,,2,,,,,"2,918"
30-Jun-2011,Belfast,Ophthalmology,Acute Services,"2,308",756,,658,653,644,,,,,,,,,497,,,,,"5,516"
30-Jun-2011,Belfast,Oral Surgery,Acute Services,346,108,,100,151,133,,,,,,,,,619,,,,,"1,457"
30-Jun-2011,Belfast,Restorative Dentistry,Acute Services,523,158,,205,182,203,,,,,,,,,97,,,,,"1,368"
30-Jun-2011,Belfast,Paediatric Dentistry,Acute Services,44,15,,13,23,16,,,,,,,,,201,,,,,312
30-Jun-2011,Belfast,Orthodontics,Acute Services,62,13,,20,3,4,,,,,,,,,4,,,,,106
30-Jun-2011,Belfast,Neurosurgery,Acute Services,245,80,,84,62,104,,,,,,,,,195,,,,,770
30-Jun-2011,Belfast,Plastic Surgery,Acute Services,81,31,,0,1,0,,,,,,,,,0,,,,,113
30-Jun-2011,Belfast,Cardiac Surgery,Acute Services,75,9,,0,0,0,,,,,,,,,0,,,,,84
30-Jun-2011,Belfast,Paediatric Surgery,Acute Services,303,33,,3,0,0,,,,,,,,,0,,,,,339
30-Jun-2011,Belfast,Thoracic Surgery,Acute Services,37,1,,0,0,0,,,,,,,,,0,,,,,38
30-Jun-2011,Belfast,Accident & Emergency,Acute Services,1,0,,0,1,0,,,,,,,,,0,,,,,2
30-Jun-2011,Belfast,Pain Management,Acute Services,299,69,,24,4,5,,,,,,,,,1,,,,,402
30-Jun-2011,Belfast,General Medicine,Acute Services,709,195,,55,84,76,,,,,,,,,710,,,,,"1,829"
30-Jun-2011,Belfast,Gastroenterology,Acute Services,636,146,,1,0,0,,,,,,,,,4,,,,,787
30-Jun-2011,Belfast,Endocrinology,Acute Services,259,52,,0,0,0,,,,,,,,,0,,,,,311
30-Jun-2011,Belfast,Haematology (Clinical),Acute Services,112,1,,0,0,0,,,,,,,,,0,,,,,113
30-Jun-2011,Belfast,Clinical Genetics,Acute Services,228,55,,32,18,8,,,,,,,,,5,,,,,346
30-Jun-2011,Belfast,Rehabilitation,Acute Services,8,2,,0,0,0,,,,,,,,,0,,,,,10
30-Jun-2011,Belfast,Palliative Medicine,Acute Services,7,0,,0,0,0,,,,,,,,,0,,,,,7
30-Jun-2011,Belfast,Cardiology,Acute Services,823,168,,67,30,6,,,,,,,,,22,,,,,"1,116"
30-Jun-2011,Belfast,Dermatology,Acute Services,"1,251",458,,309,277,255,,,,,,,,,"1,695",,,,,"4,245"
30-Jun-2011,Belfast,Thoracic Medicine,Acute Services,364,74,,3,3,0,,,,,,,,,0,,,,,444
30-Jun-2011,Belfast,Nephrology,Acute Services,142,31,,31,5,0,,,,,,,,,0,,,,,209
30-Jun-2011,Belfast,Medical Oncology,Acute Services,32,0,,0,0,0,,,,,,,,,0,,,,,32
30-Jun-2011,Belfast,Neurology,Acute Services,818,228,,190,187,215,,,,,,,,,575,,,,,"2,213"
30-Jun-2011,Belfast,Rheumatology,Acute Services,455,191,,180,139,161,,,,,,,,,829,,,,,"1,955"
30-Jun-2011,Belfast,Paediatrics,Acute Services,"1,047",329,,262,236,248,,,,,,,,,258,,,,,"2,380"
30-Jun-2011,Belfast,Paediatric Neurology,Acute Services,43,31,,16,17,15,,,,,,,,,5,,,,,127
30-Jun-2011,Belfast,Geriatric Medicine,Elderly Care,184,44,,9,7,0,,,,,,,,,0,,,,,244
30-Jun-2011,Belfast,Dental Medicine Specialties,Acute Services,105,20,,23,18,56,,,,,,,,,937,,,,,"1,159"
30-Jun-2011,Belfast,Gynaecology,Acute Services,"1,315",376,,156,34,0,,,,,,,,,1,,,,,"1,882"
30-Jun-2011,Belfast,Learning Disability,Learning Disability,30,10,,0,0,0,,,,,,,,,0,,,,,40
30-Jun-2011,Belfast,Old Age Psychiatry,Elderly Care,95,23,,22,10,2,,,,,,,,,0,,,,,152
30-Jun-2011,Belfast,Clinical Oncology,Acute Services,134,1,,2,0,0,,,,,,,,,1,,,,,138
30-Jun-2011,Belfast,Haematology,Acute Services,5,2,,0,0,0,,,,,,,,,0,,,,,7
30-Jun-2011,Northern,General Surgery,Acute Services,"1,560",410,,289,278,318,,,,,,,,,440,,,,,"3,295"
30-Jun-2011,Northern,Urology,Acute Services,269,60,,60,7,9,,,,,,,,,32,,,,,437
30-Jun-2011,Northern,ENT,Acute Services,985,363,,285,251,233,,,,,,,,,742,,,,,"2,859"
30-Jun-2011,Northern,Oral Surgery,Acute Services,152,49,,63,58,81,,,,,,,,,408,,,,,811
30-Jun-2011,Northern,Orthodontics,Acute Services,42,22,,10,6,4,,,,,,,,,0,,,,,84
30-Jun-2011,Northern,Pain Management,Acute Services,246,106,,95,82,95,,,,,,,,,225,,,,,849
30-Jun-2011,Northern,General Medicine,Acute Services,321,66,,37,16,1,,,,,,,,,0,,,,,441
30-Jun-2011,Northern,Gastroenterology,Acute Services,586,128,,75,17,4,,,,,,,,,0,,,,,810
30-Jun-2011,Northern,Haematology (Clinical),Acute Services,42,2,,0,0,0,,,,,,,,,0,,,,,44
30-Jun-2011,Northern,Cardiology,Acute Services,382,115,,123,88,80,,,,,,,,,453,,,,,"1,241"
30-Jun-2011,Northern,Dermatology,Acute Services,752,232,,171,215,226,,,,,,,,,"2,144",,,,,"3,740"
30-Jun-2011,Northern,Thoracic Medicine,Acute Services,228,63,,40,46,49,,,,,,,,,40,,,,,466
30-Jun-2011,Northern,Nephrology,Acute Services,43,1,,0,0,0,,,,,,,,,0,,,,,44
30-Jun-2011,Northern,Neurology,Acute Services,213,72,,59,79,71,,,,,,,,,443,,,,,937
30-Jun-2011,Northern,Rheumatology,Acute Services,316,123,,126,140,127,,,,,,,,,445,,,,,"1,277"
30-Jun-2011,Northern,Paediatrics,Acute Services,431,104,,50,29,11,,,,,,,,,6,,,,,631
30-Jun-2011,Northern,Geriatric Medicine,Elderly Care,77,9,,7,3,3,,,,,,,,,25,,,,,124
30-Jun-2011,Northern,Gynaecology,Acute Services,"1,111",391,,377,348,280,,,,,,,,,141,,,,,"2,648"
30-Jun-2011,Northern,Chemical Pathology,Acute Services,20,3,,0,0,0,,,,,,,,,0,,,,,23
30-Jun-2011,Northern,Joint Consultant Clinics,Acute Services,6,0,,0,1,0,,,,,,,,,0,,,,,7
30-Jun-2011,South Eastern,General Surgery,Acute Services,"1,158",211,,29,0,0,,,,,,,,,0,,,,,"1,398"
30-Jun-2011,South Eastern,Urology,Acute Services,299,44,,0,1,0,,,,,,,,,0,,,,,344
30-Jun-2011,South Eastern,T & O Surgery,Acute Services,199,3,,3,0,0,,,,,,,,,0,,,,,205
30-Jun-2011,South Eastern,ENT,Acute Services,"1,102",307,,137,52,16,,,,,,,,,9,,,,,"1,623"
30-Jun-2011,South Eastern,Ophthalmology,Acute Services,698,189,,90,3,0,,,,,,,,,0,,,,,980
30-Jun-2011,South Eastern,Oral Surgery,Acute Services,398,130,,120,140,122,,,,,,,,,152,,,,,"1,062"
30-Jun-2011,South Eastern,Plastic Surgery,Acute Services,630,213,,210,171,181,,,,,,,,,"1,810",,,,,"3,215"
30-Jun-2011,South Eastern,Paediatric Surgery,Acute Services,68,5,,2,0,0,,,,,,,,,0,,,,,75
30-Jun-2011,South Eastern,Pain Management,Acute Services,241,88,,62,33,13,,,,,,,,,1,,,,,438
30-Jun-2011,South Eastern,General Medicine,Acute Services,747,211,,165,153,98,,,,,,,,,388,,,,,"1,762"
30-Jun-2011,South Eastern,Gastroenterology,Acute Services,51,12,,9,13,8,,,,,,,,,4,,,,,97
30-Jun-2011,South Eastern,Endocrinology,Acute Services,18,8,,2,0,0,,,,,,,,,0,,,,,28
30-Jun-2011,South Eastern,Haematology (Clinical),Acute Services,56,3,,0,0,0,,,,,,,,,0,,,,,59
30-Jun-2011,South Eastern,Palliative Medicine,Acute Services,1,1,,0,0,0,,,,,,,,,0,,,,,2
30-Jun-2011,South Eastern,Cardiology,Acute Services,339,91,,14,4,0,,,,,,,,,0,,,,,448
30-Jun-2011,South Eastern,Dermatology,Acute Services,814,283,,190,114,77,,,,,,,,,31,,,,,"1,509"
30-Jun-2011,South Eastern,Thoracic Medicine,Acute Services,213,78,,84,74,64,,,,,,,,,131,,,,,644
30-Jun-2011,South Eastern,Nephrology,Acute Services,35,0,,0,0,0,,,,,,,,,0,,,,,35
30-Jun-2011,South Eastern,Neurology,Acute Services,158,67,,47,49,59,,,,,,,,,137,,,,,517
30-Jun-2011,South Eastern,Rheumatology,Acute Services,353,116,,124,118,100,,,,,,,,,269,,,,,"1,080"
30-Jun-2011,South Eastern,Paediatrics,Acute Services,353,89,,59,13,3,,,,,,,,,8,,,,,525
30-Jun-2011,South Eastern,Geriatric Medicine,Elderly Care,169,30,,3,0,0,,,,,,,,,0,,,,,202
30-Jun-2011,South Eastern,Gynaecology,Acute Services,967,341,,288,194,81,,,,,,,,,35,,,,,"1,906"
30-Jun-2011,South Eastern,Old Age Psychiatry,Elderly Care,117,29,,22,0,0,,,,,,,,,0,,,,,168
30-Jun-2011,Southern,General Surgery,Acute Services,"1,751",320,,0,1,0,,,,,,,,,1,,,,,"2,073"
30-Jun-2011,Southern,Urology,Acute Services,237,34,,0,0,0,,,,,,,,,1,,,,,272
30-Jun-2011,Southern,T & O Surgery,Acute Services,466,155,,87,50,45,,,,,,,,,26,,,,,829
30-Jun-2011,Southern,ENT,Acute Services,"1,278",428,,320,93,1,,,,,,,,,3,,,,,"2,123"
30-Jun-2011,Southern,Ophthalmology,Acute Services,712,297,,289,308,323,,,,,,,,,"1,017",,,,,"2,946"
30-Jun-2011,Southern,Oral Surgery,Acute Services,204,87,,88,100,99,,,,,,,,,540,,,,,"1,118"
30-Jun-2011,Southern,Orthodontics,Acute Services,31,1,,0,0,0,,,,,,,,,0,,,,,32
30-Jun-2011,Southern,Thoracic Surgery,Acute Services,5,2,,0,0,0,,,,,,,,,0,,,,,7
30-Jun-2011,Southern,Accident & Emergency,Acute Services,0,0,,0,0,1,,,,,,,,,0,,,,,1
30-Jun-2011,Southern,Anaesthetics,Acute Services,1,1,,0,0,0,,,,,,,,,0,,,,,2
30-Jun-2011,Southern,Pain Management,Acute Services,216,48,,0,0,0,,,,,,,,,0,,,,,264
30-Jun-2011,Southern,General Medicine,Acute Services,319,60,,0,1,1,,,,,,,,,0,,,,,381
30-Jun-2011,Southern,Gastroenterology,Acute Services,69,25,,0,0,0,,,,,,,,,0,,,,,94
30-Jun-2011,Southern,Endocrinology,Acute Services,96,14,,0,0,0,,,,,,,,,0,,,,,110
30-Jun-2011,Southern,Haematology (Clinical),Acute Services,71,7,,0,0,0,,,,,,,,,0,,,,,78
30-Jun-2011,Southern,Palliative Medicine,Acute Services,4,0,,0,0,0,,,,,,,,,0,,,,,4
30-Jun-2011,Southern,Cardiology,Acute Services,396,156,,16,6,0,,,,,,,,,1,,,,,575
30-Jun-2011,Southern,Dermatology,Acute Services,"1,139",429,,367,403,294,,,,,,,,,110,,,,,"2,742"
30-Jun-2011,Southern,Thoracic Medicine,Acute Services,134,24,,4,1,0,,,,,,,,,0,,,,,163
30-Jun-2011,Southern,Genito-Urinary Medicine,Acute Services,15,0,,0,0,0,,,,,,,,,0,,,,,15
30-Jun-2011,Southern,Nephrology,Acute Services,16,1,,2,0,1,,,,,,,,,0,,,,,20
30-Jun-2011,Southern,Neurology,Acute Services,235,40,,0,0,0,,,,,,,,,0,,,,,275
30-Jun-2011,Southern,Rheumatology,Acute Services,264,98,,77,33,11,,,,,,,,,0,,,,,483
30-Jun-2011,Southern,Paediatrics,Acute Services,491,114,,16,9,15,,,,,,,,,4,,,,,649
30-Jun-2011,Southern,Geriatric Medicine,Elderly Care,59,0,,0,0,0,,,,,,,,,0,,,,,59
30-Jun-2011,Southern,Gynaecology,Acute Services,"1,181",351,,0,1,0,,,,,,,,,0,,,,,"1,533"
30-Jun-2011,Southern,Learning Disability,Learning Disability,19,1,,0,0,0,,,,,,,,,0,,,,,20
30-Jun-2011,Southern,Old Age Psychiatry,Elderly Care,82,13,,0,0,0,,,,,,,,,0,,,,,95
30-Jun-2011,Southern,Chemical Pathology,Acute Services,13,2,,0,0,0,,,,,,,,,0,,,,,15
30-Jun-2011,Western,General Surgery,Acute Services,"1,243",332,,314,256,118,,,,,,,,,393,,,,,"2,656"
30-Jun-2011,Western,Urology,Acute Services,271,75,,84,70,39,,,,,,,,,120,,,,,659
30-Jun-2011,Western,T & O Surgery,Acute Services,"1,092",276,,247,224,125,,,,,,,,,186,,,,,"2,150"
30-Jun-2011,Western,ENT,Acute Services,880,271,,152,34,9,,,,,,,,,4,,,,,"1,350"
30-Jun-2011,Western,Ophthalmology,Acute Services,940,345,,304,384,319,,,,,,,,,"1,227",,,,,"3,519"
30-Jun-2011,Western,Oral Surgery,Acute Services,590,162,,153,179,164,,,,,,,,,51,,,,,"1,299"
30-Jun-2011,Western,Orthodontics,Acute Services,48,9,,0,0,0,,,,,,,,,0,,,,,57
30-Jun-2011,Western,Pain Management,Acute Services,149,28,,32,17,4,,,,,,,,,2,,,,,232
30-Jun-2011,Western,General Medicine,Acute Services,753,188,,146,142,102,,,,,,,,,226,,,,,"1,557"
30-Jun-2011,Western,Haematology (Clinical),Acute Services,46,4,,0,0,0,,,,,,,,,0,,,,,50
30-Jun-2011,Western,Palliative Medicine,Acute Services,14,0,,0,0,0,,,,,,,,,0,,,,,14
30-Jun-2011,Western,Cardiology,Acute Services,197,31,,3,4,7,,,,,,,,,1,,,,,243
30-Jun-2011,Western,Dermatology,Acute Services,591,105,,0,0,0,,,,,,,,,0,,,,,696
30-Jun-2011,Western,Genito-Urinary Medicine,Acute Services,70,0,,0,0,0,,,,,,,,,0,,,,,70
30-Jun-2011,Western,Nephrology,Acute Services,33,14,,0,2,0,,,,,,,,,0,,,,,49
30-Jun-2011,Western,Neurology,Acute Services,284,81,,90,78,102,,,,,,,,,807,,,,,"1,442"
30-Jun-2011,Western,Rheumatology,Acute Services,234,82,,31,4,3,,,,,,,,,0,,,,,354
30-Jun-2011,Western,Paediatrics,Acute Services,308,82,,54,33,27,,,,,,,,,39,,,,,543
30-Jun-2011,Western,Geriatric Medicine,Elderly Care,57,6,,1,0,0,,,,,,,,,0,,,,,64
30-Jun-2011,Western,Gynaecology,Acute Services,788,242,,204,207,124,,,,,,,,,28,,,,,"1,593"
30-Jun-2011,Western,Learning Disability,Learning Disability,13,3,,0,0,0,,,,,,,,,0,,,,,16
30-Jun-2011,Western,Chemical Pathology,Acute Services,23,12,,0,0,0,,,,,,,,,2,,,,,37
30-Sep-2011,Belfast,General Surgery,Acute Services,"1,952",636,,60,21,0,,,,,,,,,0,,,,,"2,669"
30-Sep-2011,Belfast,Urology,Acute Services,686,251,,197,211,230,,,,,,,,,306,,,,,"1,881"
30-Sep-2011,Belfast,T & O Surgery,Acute Services,"3,810","1,376",,996,"1,540","1,493",,,,,,,,,757,,,,,"9,972"
30-Sep-2011,Belfast,ENT,Acute Services,"1,500",567,,388,366,93,,,,,,,,,4,,,,,"2,918"
30-Sep-2011,Belfast,Ophthalmology,Acute Services,"2,077",694,,458,593,515,,,,,,,,,"1,054",,,,,"5,391"
30-Sep-2011,Belfast,Oral Surgery,Acute Services,248,62,,29,40,56,,,,,,,,,711,,,,,"1,146"
30-Sep-2011,Belfast,Restorative Dentistry,Acute Services,601,176,,132,206,197,,,,,,,,,234,,,,,"1,546"
30-Sep-2011,Belfast,Paediatric Dentistry,Acute Services,36,33,,16,22,14,,,,,,,,,264,,,,,385
30-Sep-2011,Belfast,Orthodontics,Acute Services,39,12,,7,3,2,,,,,,,,,1,,,,,64
30-Sep-2011,Belfast,Neurosurgery,Acute Services,190,97,,54,88,74,,,,,,,,,246,,,,,749
30-Sep-2011,Belfast,Plastic Surgery,Acute Services,82,33,,16,2,2,,,,,,,,,0,,,,,135
30-Sep-2011,Belfast,Cardiac Surgery,Acute Services,61,15,,3,1,0,,,,,,,,,0,,,,,80
30-Sep-2011,Belfast,Paediatric Surgery,Acute Services,300,56,,14,7,0,,,,,,,,,0,,,,,377
30-Sep-2011,Belfast,Thoracic Surgery,Acute Services,62,4,,1,1,0,,,,,,,,,0,,,,,68
30-Sep-2011,Belfast,Accident & Emergency,Acute Services,0,0,,0,1,0,,,,,,,,,1,,,,,2
30-Sep-2011,Belfast,Pain Management,Acute Services,235,86,,35,11,2,,,,,,,,,1,,,,,370
30-Sep-2011,Belfast,General Medicine,Acute Services,"1,478",258,,154,94,76,,,,,,,,,925,,,,,"2,985"
30-Sep-2011,Belfast,Gastroenterology,Acute Services,618,167,,21,2,0,,,,,,,,,1,,,,,809
30-Sep-2011,Belfast,Endocrinology,Acute Services,285,99,,0,3,1,,,,,,,,,0,,,,,388
30-Sep-2011,Belfast,Haematology (Clinical),Acute Services,137,8,,0,0,0,,,,,,,,,0,,,,,145
30-Sep-2011,Belfast,Clinical Genetics,Acute Services,285,56,,13,20,29,,,,,,,,,9,,,,,412
30-Sep-2011,Belfast,Rehabilitation,Acute Services,13,0,,0,0,0,,,,,,,,,0,,,,,13
30-Sep-2011,Belfast,Palliative Medicine,Acute Services,2,0,,0,0,0,,,,,,,,,0,,,,,2
30-Sep-2011,Belfast,Cardiology,Acute Services,813,232,,98,57,42,,,,,,,,,7,,,,,"1,249"
30-Sep-2011,Belfast,Dermatology,Acute Services,"1,057",354,,320,319,265,,,,,,,,,"2,492",,,,,"4,807"
30-Sep-2011,Belfast,Thoracic Medicine,Acute Services,294,122,,37,22,10,,,,,,,,,1,,,,,486
30-Sep-2011,Belfast,Nephrology,Acute Services,125,39,,30,30,21,,,,,,,,,0,,,,,245
30-Sep-2011,Belfast,Medical Oncology,Acute Services,28,0,,0,0,0,,,,,,,,,0,,,,,28
30-Sep-2011,Belfast,Neurology,Acute Services,740,263,,181,216,188,,,,,,,,,789,,,,,"2,377"
30-Sep-2011,Belfast,Rheumatology,Acute Services,406,188,,125,153,133,,,,,,,,,"1,185",,,,,"2,190"
30-Sep-2011,Belfast,Paediatrics,Acute Services,771,260,,138,160,135,,,,,,,,,461,,,,,"1,925"
30-Sep-2011,Belfast,Paediatric Neurology,Acute Services,45,15,,19,25,4,,,,,,,,,26,,,,,134
30-Sep-2011,Belfast,Geriatric Medicine,Elderly Care,187,30,,18,22,18,,,,,,,,,12,,,,,287
30-Sep-2011,Belfast,Dental Medicine Specialties,Acute Services,232,62,,30,53,41,,,,,,,,,853,,,,,"1,271"
30-Sep-2011,Belfast,Gynaecology,Acute Services,"1,451",362,,104,54,0,,,,,,,,,0,,,,,"1,971"
30-Sep-2011,Belfast,Learning Disability,Learning Disability,31,7,,0,0,0,,,,,,,,,0,,,,,38
30-Sep-2011,Belfast,Old Age Psychiatry,Elderly Care,138,59,,18,5,3,,,,,,,,,9,,,,,232
30-Sep-2011,Belfast,Clinical Oncology,Acute Services,148,0,,0,0,0,,,,,,,,,0,,,,,148
30-Sep-2011,Northern,General Surgery,Acute Services,"1,555",456,,329,322,281,,,,,,,,,614,,,,,"3,557"
30-Sep-2011,Northern,Urology,Acute Services,250,48,,51,33,14,,,,,,,,,15,,,,,411
30-Sep-2011,Northern,ENT,Acute Services,908,356,,280,260,199,,,,,,,,,"1,107",,,,,"3,110"
30-Sep-2011,Northern,Oral Surgery,Acute Services,140,44,,48,65,56,,,,,,,,,585,,,,,938
30-Sep-2011,Northern,Orthodontics,Acute Services,46,13,,7,0,0,,,,,,,,,0,,,,,66
30-Sep-2011,Northern,Anaesthetics,Acute Services,2,0,,0,0,0,,,,,,,,,0,,,,,2
30-Sep-2011,Northern,Pain Management,Acute Services,217,89,,92,86,108,,,,,,,,,260,,,,,852
