,date,age,value,sex
697,2020-12-11,65-74,172.0,Women
696,2020-12-11,45-64,93.0,Women
695,2020-12-11,15-44,8.0,Women
694,2020-12-11,01-14,0.0,Women
693,2020-12-11,Under 1 year,0.0,Women
691,2020-12-11,75-84,606.0,Men
690,2020-12-11,65-74,285.0,Men
689,2020-12-11,45-64,185.0,Men
688,2020-12-11,15-44,14.0,Men
687,2020-12-11,01-14,1.0,Men
686,2020-12-11,Under 1 year,0.0,Men
692,2020-12-11,85+,598.0,Men
708,2020-12-18,01-14,0.0,Women
713,2020-12-18,85+,782.0,Women
712,2020-12-18,75-84,427.0,Women
711,2020-12-18,65-74,173.0,Women
710,2020-12-18,45-64,120.0,Women
709,2020-12-18,15-44,8.0,Women
707,2020-12-18,Under 1 year,1.0,Women
703,2020-12-18,45-64,158.0,Men
705,2020-12-18,75-84,615.0,Men
704,2020-12-18,65-74,290.0,Men
706,2020-12-18,85+,691.0,Men
702,2020-12-18,15-44,10.0,Men
701,2020-12-18,01-14,0.0,Men
700,2020-12-18,Under 1 year,0.0,Men
727,2020-12-25,85+,697.0,Women
726,2020-12-25,75-84,429.0,Women
725,2020-12-25,65-74,193.0,Women
724,2020-12-25,45-64,110.0,Women
723,2020-12-25,15-44,11.0,Women
722,2020-12-25,01-14,0.0,Women
721,2020-12-25,Under 1 year,0.0,Women
720,2020-12-25,85+,667.0,Men
719,2020-12-25,75-84,630.0,Men
718,2020-12-25,65-74,305.0,Men
717,2020-12-25,45-64,145.0,Men
716,2020-12-25,15-44,10.0,Men
715,2020-12-25,01-14,0.0,Men
714,2020-12-25,Under 1 year,0.0,Men
741,2021-01-01,85+,810.0,Women
740,2021-01-01,75-84,456.0,Women
739,2021-01-01,65-74,210.0,Women
738,2021-01-01,45-64,105.0,Women
737,2021-01-01,15-44,15.0,Women
736,2021-01-01,01-14,0.0,Women
735,2021-01-01,Under 1 year,0.0,Women
733,2021-01-01,75-84,601.0,Men
732,2021-01-01,65-74,319.0,Men
731,2021-01-01,45-64,176.0,Men
730,2021-01-01,15-44,15.0,Men
729,2021-01-01,01-14,0.0,Men
728,2021-01-01,Under 1 year,0.0,Men
734,2021-01-01,85+,710.0,Men
6,2021-01-08,85+,1291.0,Men
13,2021-01-08,85+,1442.0,Women
12,2021-01-08,75-84,924.0,Women
11,2021-01-08,65-74,426.0,Women
10,2021-01-08,45-64,257.0,Women
9,2021-01-08,15-44,25.0,Women
8,2021-01-08,01-14,2.0,Women
4,2021-01-08,65-74,599.0,Men
5,2021-01-08,75-84,1188.0,Men
3,2021-01-08,45-64,401.0,Men
2,2021-01-08,15-44,39.0,Men
1,2021-01-08,01-14,0.0,Men
0,2021-01-08,Under 1 year,0.0,Men
7,2021-01-08,Under 1 year,0.0,Women
23,2021-01-15,15-44,39.0,Women
24,2021-01-15,45-64,304.0,Women
22,2021-01-15,01-14,0.0,Women
26,2021-01-15,75-84,1081.0,Women
27,2021-01-15,85+,1774.0,Women
25,2021-01-15,65-74,477.0,Women
21,2021-01-15,Under 1 year,0.0,Women
20,2021-01-15,85+,1415.0,Men
19,2021-01-15,75-84,1343.0,Men
18,2021-01-15,65-74,775.0,Men
17,2021-01-15,45-64,515.0,Men
16,2021-01-15,15-44,48.0,Men
15,2021-01-15,01-14,0.0,Men
14,2021-01-15,Under 1 year,0.0,Men
41,2021-01-22,85+,2193.0,Women
40,2021-01-22,75-84,1165.0,Women
39,2021-01-22,65-74,556.0,Women
38,2021-01-22,45-64,372.0,Women
37,2021-01-22,15-44,29.0,Women
36,2021-01-22,01-14,1.0,Women
35,2021-01-22,Under 1 year,0.0,Women
33,2021-01-22,75-84,1568.0,Men
32,2021-01-22,65-74,858.0,Men
31,2021-01-22,45-64,556.0,Men
30,2021-01-22,15-44,69.0,Men
29,2021-01-22,01-14,0.0,Men
28,2021-01-22,Under 1 year,0.0,Men
34,2021-01-22,85+,1689.0,Men
50,2021-01-29,01-14,0.0,Women
55,2021-01-29,85+,2249.0,Women
54,2021-01-29,75-84,1165.0,Women
53,2021-01-29,65-74,564.0,Women
52,2021-01-29,45-64,356.0,Women
51,2021-01-29,15-44,39.0,Women
49,2021-01-29,Under 1 year,0.0,Women
48,2021-01-29,85+,1637.0,Men
47,2021-01-29,75-84,1493.0,Men
46,2021-01-29,65-74,843.0,Men
45,2021-01-29,45-64,603.0,Men
44,2021-01-29,15-44,64.0,Men
43,2021-01-29,01-14,0.0,Men
42,2021-01-29,Under 1 year,0.0,Men
69,2021-02-05,85+,1956.0,Women
68,2021-02-05,75-84,1018.0,Women
67,2021-02-05,65-74,460.0,Women
66,2021-02-05,45-64,320.0,Women
65,2021-02-05,15-44,41.0,Women
64,2021-02-05,01-14,0.0,Women
63,2021-02-05,Under 1 year,0.0,Women
62,2021-02-05,85+,1404.0,Men
61,2021-02-05,75-84,1271.0,Men
60,2021-02-05,65-74,750.0,Men
59,2021-02-05,45-64,545.0,Men
58,2021-02-05,15-44,58.0,Men
57,2021-02-05,01-14,0.0,Men
56,2021-02-05,Under 1 year,0.0,Men
82,2021-02-12,75-84,778.0,Women
81,2021-02-12,65-74,388.0,Women
83,2021-02-12,85+,1415.0,Women
79,2021-02-12,15-44,32.0,Women
78,2021-02-12,01-14,0.0,Women
77,2021-02-12,Under 1 year,0.0,Women
80,2021-02-12,45-64,244.0,Women
75,2021-02-12,75-84,1024.0,Men
74,2021-02-12,65-74,619.0,Men
73,2021-02-12,45-64,477.0,Men
72,2021-02-12,15-44,45.0,Men
71,2021-02-12,01-14,1.0,Men
70,2021-02-12,Under 1 year,0.0,Men
76,2021-02-12,85+,1092.0,Men
97,2021-02-19,85+,952.0,Women
96,2021-02-19,75-84,579.0,Women
95,2021-02-19,65-74,311.0,Women
94,2021-02-19,45-64,221.0,Women
93,2021-02-19,15-44,27.0,Women
92,2021-02-19,01-14,0.0,Women
91,2021-02-19,Under 1 year,0.0,Women
90,2021-02-19,85+,777.0,Men
89,2021-02-19,75-84,714.0,Men
88,2021-02-19,65-74,474.0,Men
87,2021-02-19,45-64,361.0,Men
86,2021-02-19,15-44,32.0,Men
85,2021-02-19,01-14,0.0,Men
84,2021-02-19,Under 1 year,0.0,Men
111,2021-02-26,85+,705.0,Women
110,2021-02-26,75-84,379.0,Women
109,2021-02-26,65-74,234.0,Women
108,2021-02-26,45-64,173.0,Women
107,2021-02-26,15-44,22.0,Women
106,2021-02-26,01-14,1.0,Women
105,2021-02-26,Under 1 year,0.0,Women
104,2021-02-26,85+,533.0,Men
103,2021-02-26,75-84,504.0,Men
102,2021-02-26,65-74,350.0,Men
101,2021-02-26,45-64,274.0,Men
100,2021-02-26,15-44,24.0,Men
99,2021-02-26,01-14,0.0,Men
98,2021-02-26,Under 1 year,0.0,Men
125,2021-03-05,85+,464.0,Women
124,2021-03-05,75-84,260.0,Women
123,2021-03-05,65-74,154.0,Women
122,2021-03-05,45-64,134.0,Women
121,2021-03-05,15-44,21.0,Women
120,2021-03-05,01-14,1.0,Women
119,2021-03-05,Under 1 year,0.0,Women
118,2021-03-05,85+,351.0,Men
117,2021-03-05,75-84,367.0,Men
116,2021-03-05,65-74,280.0,Men
115,2021-03-05,45-64,220.0,Men
114,2021-03-05,15-44,28.0,Men
113,2021-03-05,01-14,0.0,Men
112,2021-03-05,Under 1 year,0.0,Men
138,2021-03-12,75-84,188.0,Women
137,2021-03-12,65-74,111.0,Women
139,2021-03-12,85+,333.0,Women
135,2021-03-12,15-44,14.0,Women
134,2021-03-12,01-14,1.0,Women
133,2021-03-12,Under 1 year,0.0,Women
136,2021-03-12,45-64,98.0,Women
131,2021-03-12,75-84,271.0,Men
130,2021-03-12,65-74,192.0,Men
129,2021-03-12,45-64,168.0,Men
128,2021-03-12,15-44,16.0,Men
127,2021-03-12,01-14,0.0,Men
126,2021-03-12,Under 1 year,0.0,Men
132,2021-03-12,85+,245.0,Men
153,2021-03-19,85+,196.0,Women
152,2021-03-19,75-84,120.0,Women
151,2021-03-19,65-74,80.0,Women
150,2021-03-19,45-64,69.0,Women
149,2021-03-19,15-44,4.0,Women
148,2021-03-19,01-14,0.0,Women
147,2021-03-19,Under 1 year,0.0,Women
146,2021-03-19,85+,156.0,Men
145,2021-03-19,75-84,168.0,Men
144,2021-03-19,65-74,118.0,Men
143,2021-03-19,45-64,120.0,Men
142,2021-03-19,15-44,12.0,Men
141,2021-03-19,01-14,1.0,Men
140,2021-03-19,Under 1 year,0.0,Men
166,2021-03-26,75-84,90.0,Women
165,2021-03-26,65-74,50.0,Women
167,2021-03-26,85+,159.0,Women
163,2021-03-26,15-44,5.0,Women
162,2021-03-26,01-14,0.0,Women
161,2021-03-26,Under 1 year,0.0,Women
164,2021-03-26,45-64,57.0,Women
159,2021-03-26,75-84,105.0,Men
158,2021-03-26,65-74,86.0,Men
157,2021-03-26,45-64,111.0,Men
156,2021-03-26,15-44,9.0,Men
155,2021-03-26,01-14,0.0,Men
154,2021-03-26,Under 1 year,0.0,Men
160,2021-03-26,85+,128.0,Men
181,2021-04-02,85+,89.0,Women
180,2021-04-02,75-84,52.0,Women
179,2021-04-02,65-74,24.0,Women
177,2021-04-02,15-44,8.0,Women
176,2021-04-02,01-14,0.0,Women
175,2021-04-02,Under 1 year,0.0,Women
178,2021-04-02,45-64,35.0,Women
173,2021-04-02,75-84,67.0,Men
172,2021-04-02,65-74,53.0,Men
171,2021-04-02,45-64,51.0,Men
170,2021-04-02,15-44,12.0,Men
169,2021-04-02,01-14,0.0,Men
168,2021-04-02,Under 1 year,0.0,Men
174,2021-04-02,85+,59.0,Men
193,2021-04-09,65-74,26.0,Women
192,2021-04-09,45-64,30.0,Women
191,2021-04-09,15-44,7.0,Women
190,2021-04-09,01-14,0.0,Women
189,2021-04-09,Under 1 year,0.0,Women
188,2021-04-09,85+,70.0,Men
185,2021-04-09,45-64,49.0,Men
186,2021-04-09,65-74,51.0,Men
184,2021-04-09,15-44,10.0,Men
183,2021-04-09,01-14,0.0,Men
182,2021-04-09,Under 1 year,0.0,Men
194,2021-04-09,75-84,49.0,Women
187,2021-04-09,75-84,68.0,Men
195,2021-04-09,85+,62.0,Women
